price,latitude,longitude,homeStatus,zestimate,rentZestimate,detailUrl,address
175000.0,31.114346,-97.88481,FOR_SALE,,,/homedetails/1201-E-Robertson-Ave-Copperas-Cove-TX-76522/78800804_zpid/,"1201 E Robertson Ave, Copperas Cove, TX 76522"
467000.0,32.916534,-96.921364,FOR_SALE,459100,3122,/homedetails/1735-Wittington-Pl-APT-2302-Dallas-TX-75234/2056230613_zpid/,"1735 Wittington Pl APT 2302, Dallas, TX 75234"
315000.0,29.521345,-98.666306,FOR_SALE,,,/homedetails/8554-Donegal-St-San-Antonio-TX-78254/26432824_zpid/,"8554 DONEGAL ST, San Antonio, TX 78254"
300000.0,32.966022,-96.8644,FOR_SALE,301600,2481,/homedetails/2669-Via-Del-Mar-Plz-Carrollton-TX-75006/26951561_zpid/,"2669 Via Del Mar Plz, Carrollton, TX 75006"
279900.0,29.940727,-95.255585,FOR_SALE,280100,1830,/homedetails/9306-Reflections-Path-Way-Humble-TX-77396/80576458_zpid/,"9306 Reflections Path Way, Humble, TX 77396"
298000.0,29.557005,-98.61019,FOR_SALE,297200,1900,/homedetails/6235-Sunset-Haven-St-San-Antonio-TX-78249/26380133_zpid/,"6235 SUNSET HAVEN ST, San Antonio, TX 78249"
240000.0,32.66624,-96.80118,FOR_SALE,241200,1791,/homedetails/6810-Balalaika-Rd-Dallas-TX-75241/26823474_zpid/,"6810 Balalaika Rd, Dallas, TX 75241"
299000.0,29.557156,-98.65057,FOR_SALE,298700,2050,/homedetails/8411-Parkdale-Cv-San-Antonio-TX-78249/80031149_zpid/,"8411 Parkdale Cove, San Antonio, TX 78249"
355000.0,29.578506,-98.42663,FOR_SALE,307200,2037,/homedetails/3603-Woodrose-Cir-San-Antonio-TX-78247/26461450_zpid/,"3603 WOODROSE CIR, San Antonio, TX 78247"
424000.0,29.575972,-98.5242,FOR_SALE,,,/homedetails/14711-Churchill-Estates-Blvd-San-Antonio-TX-78248/26399244_zpid/,"14711 Churchill Estates Blvd, San Antonio, TX 78248"
258900.0,32.756943,-97.45788,FOR_SALE,259600,1650,/homedetails/424-Kimbrough-St-Fort-Worth-TX-76108/29040920_zpid/,"424 Kimbrough St, Fort Worth, TX 76108"
450000.0,32.77218,-96.46639,FOR_SALE,449100,2964,/homedetails/605-Fm-740-N-Forney-TX-75126/28668744_zpid/,"605 Fm 740 N, Forney, TX 75126"
400000.0,33.20719,-96.65002,FOR_SALE,402700,2297,/homedetails/901-Austin-Ln-McKinney-TX-75071/60307783_zpid/,"901 Austin Ln, McKinney, TX 75071"
325000.0,29.457561,-98.506615,FOR_SALE,322300,1849,/homedetails/807-W-Agarita-Ave-San-Antonio-TX-78212/26216564_zpid/,"807 W AGARITA AVE, San Antonio, TX 78212"
399900.0,30.161995,-95.33472,FOR_SALE,399400,2228,/homedetails/19886-Northfork-Ln-Porter-TX-77365/67662274_zpid/,"19886 Northfork Ln, Porter, TX 77365"
459000.0,29.5259,-98.75697,FOR_SALE,458300,2795,/homedetails/8934-High-Br-San-Antonio-TX-78254/125284084_zpid/,"8934 High Branch, San Antonio, TX 78254"
560000.0,30.691957,-97.724724,FOR_SALE,,,/homedetails/501-Caprock-Canyon-Trl-Georgetown-TX-78633/120772947_zpid/,"501 Caprock Canyon Trl, Georgetown, TX 78633"
391170.0,33.681698,-96.614,FOR_SALE,373800,2500,/homedetails/4901-Sweetbay-Rd-Sherman-TX-75092/2062649926_zpid/,"4901 Sweetbay Rd, Sherman, TX 75092"
279900.0,32.77682,-96.746124,FOR_SALE,274100,1999,/homedetails/4410-Baldwin-St-Dallas-TX-75210/26698632_zpid/,"4410 Baldwin St, Dallas, TX 75210"
114900.0,29.663052,-95.3202,FOR_SALE,113700,1599,/homedetails/6111-Westover-St-Houston-TX-77033/27966903_zpid/,"6111 Westover St, Houston, TX 77033"
